exercise_code,name,category,body_region,equipment,difficulty,default_reps,default_sets,default_rest,coaching_cues,common_mistakes,regression,progression,video_path,thumbnail_path,tags
EX-001,1/2 Kneeling Hip Flexor Stretch,Mobility,Hips,Bodyweight,Beginner,30 sec each side,2,30 sec,"Tuck pelvis gently; Squeeze back-side glute; Reach tall through crown","Arching low back; Dumping into front hip",Shorten hold or use pad,Add overhead reach,media/videos/EX-001_hip_flexor_stretch.mp4,media/thumbnails/EX-001_hip_flexor_stretch.png,"mobility, hips, warmup"
EX-002,Cross Body Knee Hug,Mobility,Hips,Bodyweight,Beginner,8 each side,2,20 sec,"Pull knee across body; Keep opposite shoulder grounded; Breathe into the stretch","Twisting aggressively; Holding breath",Keep foot down between reps,Add pause at end range,media/videos/EX-002_cross_body_knee_hug.mp4,media/thumbnails/EX-002_cross_body_knee_hug.png,"mobility, hips, recovery"
EX-003,90/90 Supported Hip CAR,Mobility,Hips,Bodyweight,Intermediate,5 slow reps each side,2,30 sec,"Move from hip socket; Keep torso tall; Use hands for light support","Rushing reps; Rounding spine",Use higher hand support,Reduce hand support,media/videos/EX-003_9090_supported_hip_car.mp4,media/thumbnails/EX-003_9090_supported_hip_car.png,"mobility, hips, control"
EX-004,Dumbbell Side Lying ER Shoulder,Strength,Shoulder,Dumbbell,Beginner,10-12 each side,3,45 sec,"Keep elbow pinned; Rotate slowly; Stop before shoulder rolls back","Using momentum; Letting wrist bend",Use lighter load,Add tempo,media/videos/EX-004_db_side_lying_er_shoulder.mp4,media/thumbnails/EX-004_db_side_lying_er_shoulder.png,"strength, shoulder, rotator cuff"
EX-005,Glute Bridge March,Strength,Hips,Bodyweight,Beginner,8 each side,3,45 sec,"Hold ribs down; Keep hips level; Drive through heel","Dropping hips; Overarching low back",Static glute bridge,Add mini-band,media/videos/EX-005_glute_bridge_march.mp4,media/thumbnails/EX-005_glute_bridge_march.png,"strength, glutes, core"
EX-006,Isometric Bird Dog,Core,Spine,Bodyweight,Beginner,15 sec each side,3,30 sec,"Reach long; Brace gently; Keep hips square","Shrugging shoulders; Rotating pelvis",Hands-only or legs-only,Add slow reps,media/videos/EX-006_isometric_bird_dog.mp4,media/thumbnails/EX-006_isometric_bird_dog.png,"core, stability, spine"
EX-007,Side Lying Hip Raise,Strength,Hips,Bodyweight,Intermediate,8-10 each side,3,45 sec,"Stack shoulders and hips; Lift from bottom oblique; Keep neck relaxed","Pushing through top hand; Letting hips roll",Bent-knee version,Add top-leg abduction,media/videos/EX-007_side_lying_hip_raise.mp4,media/thumbnails/EX-007_side_lying_hip_raise.png,"strength, hips, lateral core"
EX-008,Dumbbell Single Leg Glute Bridge,Strength,Hips,Dumbbell,Intermediate,8 each side,3,60 sec,"Keep pelvis level; Drive through planted heel; Pause at top","Rotating hips; Losing rib position",Bodyweight single-leg bridge,Increase load,media/videos/EX-008_db_single_leg_glute_bridge.mp4,media/thumbnails/EX-008_db_single_leg_glute_bridge.png,"strength, glutes, unilateral"
EX-009,Dumbbell Single Arm Floor Press,Strength,Chest,Dumbbell,Beginner,8-12 each side,3,60 sec,"Pack shoulder; Press straight up; Keep opposite ribs down","Bouncing elbow; Twisting torso",Two-arm floor press,Add tempo or heavier load,media/videos/EX-009_db_single_arm_floor_press.mp4,media/thumbnails/EX-009_db_single_arm_floor_press.png,"strength, chest, shoulder"

